programa,n,hilos,funcion,a,b,rep,tiempo,area,error
paralelo,1000000000,4,3,0,1,4,1.347000,0.459697693711127,4.207335591033257e-10
paralelo,1000000000,8,3,0,1,4,0.912000,0.459697693711121,4.207392212407512e-10
paralelo,1000000000,16,3,0,1,4,0.577000,0.459697693711118,4.207417747537079e-10
secuencial,100000000,1,1,0,1,5,0.075000,0.333333328333363,4.999970493191341e-09
paralelo,100000000,1,1,0,1,5,0.064000,0.333333328333363,4.999970493191341e-09
paralelo,100000000,2,1,0,1,5,0.030000,0.333333328333340,4.999993585830254e-09
paralelo,100000000,4,1,0,1,5,0.029000,0.333333328333350,4.999983038711520e-09
paralelo,100000000,8,1,0,1,5,0.016000,0.333333328333329,5.000004188460139e-09
paralelo,100000000,16,1,0,1,5,0.008000,0.333333328333351,4.999982261555402e-09
secuencial,500000000,1,1,0,1,5,0.317000,0.333333332333356,9.999771566349125e-10
paralelo,500000000,1,1,0,1,5,0.291000,0.333333332333356,9.999771566349125e-10
paralelo,500000000,2,1,0,1,5,0.159000,0.333333332333382,9.999509553715313e-10
paralelo,500000000,4,1,0,1,5,0.080000,0.333333332333287,1.000045990462439e-09
paralelo,500000000,8,1,0,1,5,0.074000,0.333333332333319,1.000014071550481e-09
paralelo,500000000,16,1,0,1,5,0.041000,0.333333332333436,9.998972205771395e-10
secuencial,1000000000,1,1,0,1,5,0.625000,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,1,1,0,1,5,0.567000,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,2,1,0,1,5,0.300000,0.333333332833332,5.000013736378150e-10
paralelo,1000000000,4,1,0,1,5,0.205000,0.333333332833382,4.999516911574631e-10
paralelo,1000000000,8,1,0,1,5,0.142000,0.333333332833345,4.999882174949732e-10
paralelo,1000000000,16,1,0,1,5,0.087000,0.333333332833357,4.999765046420634e-10
secuencial,100000000,1,3,0,1,5,0.296000,0.459697689924563,4.207296844249697e-09
paralelo,100000000,1,3,0,1,5,0.281000,0.459697689924563,4.207296844249697e-09
paralelo,100000000,2,3,0,1,5,0.195000,0.459697689924628,4.207232451314269e-09
paralelo,100000000,4,3,0,1,5,0.152000,0.459697689924516,4.207343806683639e-09
paralelo,100000000,8,3,0,1,5,0.081000,0.459697689924480,4.207379777909637e-09
paralelo,100000000,16,3,0,1,5,0.057000,0.459697689924490,4.207370063458171e-09
secuencial,500000000,1,3,0,1,5,1.395000,0.459697693290446,8.414139940349230e-10
paralelo,500000000,1,3,0,1,5,1.367000,0.459697693290446,8.414139940349230e-10
paralelo,500000000,2,3,0,1,5,0.922000,0.459697693290424,8.414359209396594e-10
paralelo,500000000,4,3,0,1,5,0.681000,0.459697693290402,8.414584584670592e-10
paralelo,500000000,8,3,0,1,5,0.410000,0.459697693290400,8.414604013573523e-10
paralelo,500000000,16,3,0,1,5,0.286000,0.459697693290394,8.414667296285927e-10
secuencial,1000000000,1,3,0,1,5,2.808000,0.459697693711160,4.206998638345283e-10
paralelo,1000000000,1,3,0,1,5,2.794000,0.459697693711160,4.206998638345283e-10
paralelo,1000000000,2,3,0,1,5,1.873000,0.459697693711131,4.207295623004370e-10
paralelo,1000000000,4,3,0,1,5,1.404000,0.459697693711127,4.207335591033257e-10
paralelo,1000000000,8,3,0,1,5,0.965000,0.459697693711121,4.207391102184488e-10
paralelo,1000000000,16,3,0,1,5,0.595000,0.459697693711119,4.207417192425567e-10
