programa,n,hilos,funcion,a,b,rep,tiempo,area,error
paralelo,500000000,2,1,0,1,5,0.205615,0.333333332333382,9.999509553715313e-10
paralelo,500000000,4,1,0,1,5,0.104795,0.333333332333287,1.000045990462439e-09
paralelo,500000000,8,1,0,1,5,0.077288,0.333333332333319,1.000014071550481e-09
paralelo,500000000,16,1,0,1,5,0.055101,0.333333332333436,9.998972205771395e-10
secuencial,1000000000,1,1,0,1,5,1.094569,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,1,1,0,1,5,0.769991,0.333333332833401,4.999320957210784e-10
paralelo,1000000000,2,1,0,1,5,0.405968,0.333333332833332,5.000013736378150e-10
paralelo,1000000000,4,1,0,1,5,0.220419,0.333333332833382,4.999517466686143e-10
paralelo,1000000000,8,1,0,1,5,0.114028,0.333333332833345,4.999882174949732e-10
paralelo,1000000000,16,1,0,1,5,0.106593,0.333333332833357,4.999765046420634e-10
secuencial,100000000,1,3,0,1,5,0.863248,0.459697689924563,4.207296844249697e-09
paralelo,100000000,1,3,0,1,5,0.832625,0.459697689924563,4.207296844249697e-09
paralelo,100000000,2,3,0,1,5,0.434808,0.459697689924628,4.207232451314269e-09
paralelo,100000000,4,3,0,1,5,0.228520,0.459697689924516,4.207343806683639e-09
paralelo,100000000,8,3,0,1,5,0.174385,0.459697689924481,4.207379666887334e-09
paralelo,100000000,16,3,0,1,5,0.118013,0.459697689924490,4.207370063458171e-09
secuencial,500000000,1,3,0,1,5,4.066645,0.459697693290446,8.414139940349230e-10
paralelo,500000000,1,3,0,1,5,4.121773,0.459697693290446,8.414139940349230e-10
paralelo,500000000,2,3,0,1,5,2.147902,0.459697693290424,8.414359209396594e-10
paralelo,500000000,4,3,0,1,5,1.146632,0.459697693290402,8.414584029559080e-10
paralelo,500000000,8,3,0,1,5,0.798270,0.459697693290400,8.414604013573523e-10
paralelo,500000000,16,3,0,1,5,0.572653,0.459697693290394,8.414667296285927e-10
secuencial,1000000000,1,3,0,1,5,8.505298,0.459697693711160,4.206999193456795e-10
paralelo,1000000000,1,3,0,1,5,8.499539,0.459697693711160,4.206999193456795e-10
paralelo,1000000000,2,3,0,1,5,4.612946,0.459697693711131,4.207295623004370e-10
paralelo,1000000000,4,3,0,1,5,2.336014,0.459697693711127,4.207335591033257e-10
paralelo,1000000000,8,3,0,1,5,1.358281,0.459697693711121,4.207391657296000e-10
paralelo,1000000000,16,3,0,1,5,1.193530,0.459697693711119,4.207417192425567e-10
